package,depth,U_versions,months_since_release,D_enc_release_hygiene,D_dec_pin_clarity,n_requires,E_indegree
numkong,2,18,0.13,0.989168,0.5,0,1
stringzilla,2,102,0.13,0.989168,0.5,0,1
linkify-it-py,2,10,4.8,0.714442,0.0,1,1
mdit-py-plugins,2,22,2.4,0.83344,1.0,1,1
nh3,2,33,1.12,0.914847,0.5,0,1
panel-material-ui,2,102,0.49,0.960555,0.666667,3,1
pyasn1-modules,2,27,15.9,0.430106,1.0,1,1
googleapis-common-protos,2,81,2.6,0.822184,1.0,1,3
proto-plus,2,83,0.1,0.991854,1.0,1,2
wrapt,2,103,0.39,0.968193,0.5,0,2
inspect2,2,3,83.48,0.125686,0.5,0,1
locket,2,5,51.15,0.190024,0.5,0,1
blis,2,59,8.21,0.593681,1.0,2,1
cloudpathlib,2,38,2.86,0.807641,1.0,1,1
langchain-protocol,2,11,1.22,0.908024,1.0,1,2
langsmith,2,512,0.07,0.994555,1.0,14,1
uuid-utils,2,29,0.53,0.958036,0.5,0,2
langgraph-checkpoint,2,59,2.1,0.850913,1.0,2,2
langgraph-prebuilt,2,44,2.43,0.831543,1.0,2,1
langgraph-sdk,2,100,1.77,0.871208,1.0,5,1
grpcio,2,279,0.07,0.994555,1.0,1,3
opentelemetry-exporter-otlp-proto-common,2,36,0.3,0.975954,1.0,1,2
opentelemetry-proto,2,73,0.3,0.975954,1.0,1,3
opentelemetry-semantic-conventions,2,61,0.3,0.975954,1.0,2,1
pycparser,2,24,6.08,0.663808,0.5,0,1
zope-event,2,25,2.89,0.80586,0.5,0,1
simple-websocket,2,17,21.45,0.358723,0.0,1,1
bidict,2,42,29.17,0.291459,0.5,0,1
argon2-cffi-bindings,3,3,11.83,0.50364,1.0,2,1
rfc3986-validator,3,2,80.88,0.129198,0.5,0,1
typing,3,15,62.78,0.160472,0.5,0,1
nvidia-cuda-nvrtc,3,11,0.3,0.975954,0.5,0,1
smmap,3,18,4.53,0.725799,0.5,0,1
cachebox,3,56,0.1,0.991854,0.5,0,1
orderly-set,3,10,12.48,0.490125,0.5,0,1
beartype,3,64,7.36,0.619875,0.5,0,1
backports-tarfile,3,4,25.89,0.316731,0.5,0,1
uc-micro-py,3,6,4.8,0.714442,0.5,0,1
pyasn1,3,42,0.56,0.95553,0.5,0,1
zstandard,3,42,10.32,0.537746,0.5,0,1
ormsgpack,3,37,6.18,0.660208,0.5,0,1
wsproto,3,14,8.11,0.59659,1.0,1,1
