orf,E_essential,U,D_enc,D_dec,D,D_dec_raw
YDR045C,1,27,0.9202279202279202,1.1446647890740894e-05,1.0533524982077803e-05,2.165712756743846e-06
YKL144C,1,32,0.7520161290322581,0.00018842918831894458,0.0001417017887963031,3.565091726245222e-05
YGR246C,1,38,0.5547652916073968,0.002193918601918871,0.0012171098929564148,0.00041509073650083115
YOR116C,1,48,0.37854609929078015,0.0014664747892704252,0.0005551283111865883,0.0002774579238289679
YBR154C,1,147,0.29018730779983226,0.00972894774137928,0.0028232171527961124,0.001840722841683877
YOR224C,1,142,0.30746179202876833,0.014206963486790902,0.00436809845293601,0.0026879661497079205
YPR110C,1,96,0.2730263157894737,0.009726641602211199,0.002655629121656347,0.0018402865187478687
YPR190C,1,32,0.7036290322580645,0.0004594577487284778,0.0003232878111012878,8.692968606214962e-05
YLL013C,0,635,0.02427283340371097,1.0,0.02427283340371097,0.1892006094199573
YER148W,1,164,0.20492293879994014,0.027069114443917033,0.005547082482559386,0.005121492949247672
YOR207C,0,45,0.5080808080808081,0.0010677061354737673,0.0005424809961043484,0.00020201065151306425
YDL150W,1,30,0.7379310344827587,0.0009523856987458162,0.0007027949639020851,0.0001801919546055603
YAL002W,0,14,0.42857142857142855,0.001314560604832345,0.0005633831163567193,0.00024871566755374735
YKL203C,1,58,0.16696914700544466,0.023327099193378636,0.003894905854429827,0.004413501383387032
YDL077C,0,23,0.34782608695652173,0.0018236358442357812,0.0006343081197341848,0.00034503301308948817
YLR396C,0,22,0.39826839826839827,0.0008671535244662332,0.000345359845241963,0.0001640659752896752
YKL002W,0,23,0.5138339920948617,0.010572526021962075,0.005432523252391581,0.0020003283664635817
YDR080W,0,21,0.3952380952380952,0.007022434470834332,0.0027755336241869024,0.001328648881493571
YOR089C,0,27,0.15954415954415954,0.005277552508143606,0.0008420026793619428,0.0009985161507865944
YMR231W,0,18,0.49673202614379086,0.0003644840671795453,0.0001810509091872251,6.896060763423463e-05
YLR148W,0,17,0.4632352941176471,0.0032209493260082407,0.0014920574083714644,0.0006094055753915598
YKR014C,0,22,0.22510822510822512,0.0037115589100216845,0.0008355024386196001,0.0007022292076741752
YDR495C,0,12,0.48484848484848486,0.0015617060581121138,0.0007571908160543582,0.0002954757379296512
YML097C,0,6,0.26666666666666666,0.0009624656334812354,0.00025665750226166274,0.000182099084400415
YKR026C,0,27,0.27635327635327633,0.004676988260389961,0.001292501029224576,0.0008848890291157667
YPL045W,0,18,0.5620915032679739,0.00019741947585987527,0.00011096780996045276,3.735188514405695e-05
YGL212W,0,43,0.44739756367663347,0.0037553863464134243,0.00168015070204986,0.0007105213853488068
YAL003W,1,7,0.38095238095238093,0.0009367683175690885,0.00035686412097870034,0.00017723713656937965
YGR214W,0,327,0.376315641357573,0.026649277103221517,0.01002853980481449,0.005042059468530826
YFR004W,1,398,0.04297305165626622,0.5108399410403068,0.021952351174409097,0.0966512281608811
YPR080W,0,12,0.19696969696969696,9.619913435166763e-05,1.8948314341995137e-05,1.8200934845007864e-05
YGR201C,0,2,0.0,1.529856493662986e-06,0.0,2.89449780926116e-07
YPL048W,0,7,0.38095238095238093,0.00035899159250462253,0.00013675870190652287,6.792142807851556e-05
YKL081W,0,28,0.037037037037037035,0.008060581470749062,0.0002985400544721875,0.0015250669265449385
YBR118W,0,61,0.09398907103825137,0.019399595269877144,0.001823349937933808,0.003670415247561277
YAL004W,0,1,0.0,0.0,0.0,0.0
YML109W,0,31,0.09247311827956989,0.009355903593133456,0.000865169579580083,0.0017701426614952181
YAL005C,0,71,0.11428571428571428,0.02004771214037354,0.002291167101756976,0.003793039354434551
YAR002W,0,42,0.4065040650406504,0.0017137926467760336,0.0006966636775512331,0.0003242506131894672
YJR032W,0,18,0.1895424836601307,0.0060330725936635875,0.001143523563504863,0.0011414610113959932
YLR078C,1,51,0.4415686274509804,0.00229892936422712,0.0010151350839685245,0.00043495883672520615
YMR229C,1,216,0.44797588285960377,0.007385115856671196,0.003308353795912738,0.0013972684207191803
YOR098C,1,49,0.4421768707482993,0.0031997489199597656,0.0014148549646080596,0.0006053944456472378
YOR027W,0,28,0.22486772486772486,0.00273467920082289,0.0006149410901321313,0.0005174029713637725
YLL036C,1,159,0.25141310405222517,0.03470141554389246,0.008724390596896139,0.006565528968639633
YBL075C,0,27,0.19373219373219372,0.0028034064039093778,0.0005431100725522441,0.0005304062000714652
YDR320C,0,14,0.15384615384615385,0.0017175396860829068,0.00026423687478198567,0.0003249595553098481
YJL130C,0,16,0.09166666666666666,0.0032808876979198605,0.0003007480389759872,0.0006207459518848784
YPL254W,0,32,0.592741935483871,0.005392291226175105,0.0031962371380957278,0.0010202247861622188
YER012W,1,70,0.41987577639751555,0.013063280977561553,0.005484955242752553,0.0024715807219787816
YPL106C,0,24,0.286231884057971,0.0016236719776174244,0.0004647466892455671,0.000307199727663324
